ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10541,0,0,0,0,0,0,0,0,0,0
10542,29,23,13,19,0,32,24,8,22,10
10543,0,0,0,0,0,36,11,0,0,11
10544,0,0,0,0,0,0,0,0,0,21
10545,0,0,0,0,0,0,0,0,0,0
10546,0,0,7,0,0,27,0,26,0,0
10547,0,0,0,0,0,0,0,0,0,0
10548,0,0,0,0,0,0,0,0,0,0
10549,0,0,0,0,0,0,0,0,0,0
10550,0,0,15,0,0,0,0,19,0,0
10551,0,0,0,9,8,23,0,0,27,8
10552,4,4,4,4,4,4,4,4,4,4
10553,0,0,0,0,0,0,0,0,0,0
10554,0,0,0,0,0,0,0,0,11,0
10555,0,0,14,15,0,0,0,16,19,11
10556,0,0,0,0,0,0,0,0,0,0
10557,33,33,33,33,33,33,33,33,33,33
10558,0,0,0,0,0,0,0,0,0,0
10559,0,0,0,0,0,0,0,0,22,0
10560,0,18,0,27,0,20,0,0,16,13
10561,0,0,14,0,17,0,0,0,0,0
10562,0,0,0,0,0,0,0,0,0,0
10563,0,0,0,8,0,0,0,0,0,0
10564,0,0,0,0,0,0,0,0,0,0
10565,0,0,0,0,0,0,0,0,0,0
10566,0,6,0,15,0,29,9,16,0,0
10567,0,0,0,0,0,0,0,0,0,0
10568,0,0,0,0,0,0,0,0,0,0
10569,0,0,0,0,0,0,0,0,0,0
10570,0,0,0,0,0,0,0,0,0,0
10571,18,0,0,0,0,0,0,0,0,0
10572,10,0,0,0,8,15,0,17,11,18
10573,9,0,0,0,0,0,0,0,0,0
10574,0,0,0,0,0,0,0,0,0,0
10575,0,0,4,0,0,0,0,0,0,0
10576,0,0,0,0,0,0,14,0,0,0
10577,0,19,0,0,26,27,0,0,0,0
10578,0,0,0,26,0,0,0,0,0,0
10579,25,25,25,25,25,25,25,25,25,25
10580,0,8,0,0,0,0,0,0,0,0
10581,0,0,0,0,0,0,0,0,0,0
10582,0,0,12,9,0,9,0,0,0,0
10583,0,0,0,0,0,0,0,0,0,0
10584,0,11,10,0,20,35,0,20,0,18
10585,0,0,0,0,0,0,0,0,0,0
10586,0,16,0,0,8,0,20,0,0,0
10587,6,0,3,0,0,0,0,0,2,0
10588,0,0,0,0,0,0,0,0,0,0
10589,7,8,25,15,32,11,22,22,9,0
10590,0,0,0,0,0,0,0,0,0,0
10591,15,15,15,15,15,15,15,15,15,15
10592,0,0,0,0,0,0,0,0,0,0
10593,0,0,0,0,0,14,0,0,0,0
10594,0,0,0,0,0,0,0,0,0,0
10595,28,28,28,28,28,28,28,28,28,28
10596,4,4,4,4,4,4,4,4,4,4
10597,0,0,0,0,0,0,0,0,0,0
10598,0,0,15,0,26,0,0,0,0,0
10599,0,0,0,0,0,0,0,11,0,0
10600,0,0,0,0,0,0,0,0,0,0
10601,12,29,0,0,0,26,16,20,0,0
10602,4,4,4,4,4,4,4,4,4,4
10603,0,21,12,23,11,23,5,0,13,20
10604,0,0,9,10,13,12,0,12,16,15
